Código,Nome,Estado,Sigla Gênero,Gênero,Data de nascimento,Idade,Primeira legislatura
1,Abilio Brunini,MT,M,Masculino,31/01/1984,41,TRUE
2,Acácio Favacho,AP,M,Masculino,28/09/1983,42,TRUE
3,Adail Filho,AM,M,Masculino,16/02/1992,33,TRUE
4,Adilson Barroso,MG,M,Masculino,14/06/1964,61,TRUE
5,Adolfo Viana,BA,M,Masculino,02/02/1981,44,TRUE
6,Adriana Ventura,SP,F,Feminino,06/03/1969,56,TRUE
7,Adriano do Baldy,GO,M,Masculino,06/09/1969,56,TRUE
8,Aécio Neves,MG,M,Masculino,10/03/1960,65,TRUE
9,Afonso Florence,BA,M,Masculino,15/10/1960,65,TRUE
10,Afonso Hamm,RS,M,Masculino,25/04/1962,63,TRUE
11,Afonso Motta,RS,M,Masculino,08/01/1950,75,TRUE
12,Aguinaldo Ribeiro,PB,M,Masculino,13/02/1969,56,TRUE
13,Airton Faleiro,RS,M,Masculino,16/03/1959,66,TRUE
14,AJ Albuquerque,CE,M,Masculino,26/09/1983,42,TRUE
15,Alberto Fraga,SE,M,Masculino,02/06/1956,69,TRUE
16,Alberto Mourão,SP,M,Masculino,26/04/1954,71,TRUE
17,Albuquerque,CE,M,Masculino,25/01/1974,51,TRUE
18,Alceu Moreira,RS,M,Masculino,04/06/1954,71,TRUE
19,Alencar Santana,SP,M,Masculino,14/03/1976,49,TRUE
20,Alex Manente,SP,M,Masculino,22/08/1979,46,TRUE
21,Alex Santana,BA,M,Masculino,22/06/1972,53,TRUE
22,Alexandre Guimarães,TO,M,Masculino,19/02/1986,39,TRUE
23,Alexandre Leite,SP,M,Masculino,18/04/1989,36,TRUE
24,Alexandre Lindenmeyer,RS,M,Masculino,23/12/1963,61,TRUE
25,Alexandre Padilha,SP,M,Masculino,14/09/1971,54,TRUE
26,Alfredinho,PI,M,Masculino,24/06/1959,66,TRUE
27,Alfredo Gaspar,AL,M,Masculino,13/08/1970,55,TRUE
28,Alice Portugal,BA,F,Feminino,16/05/1959,66,TRUE
29,Aliel Machado,PR,M,Masculino,26/02/1989,36,TRUE
30,Aline Gurgel,AP,F,Feminino,25/11/1980,44,TRUE
31,Allan Garcês,PA,M,Masculino,30/08/1969,56,TRUE
32,Altineu Côrtes,RJ,M,Masculino,13/09/1968,57,TRUE
33,Aluisio Mendes,MG,M,Masculino,11/11/1961,63,TRUE
34,Amália Barros,SP,F,Feminino,22/03/1985,40,TRUE
35,Amanda Gentil,MA,F,Feminino,25/12/1998,26,TRUE
36,Amaro Neto,ES,M,Masculino,04/12/1976,48,TRUE
37,Amom Mandel,PE,M,Masculino,02/01/2001,24,TRUE
38,Ana Paula Leão,MG,F,Feminino,22/08/1965,60,TRUE
39,Ana Paula Lima,PR,F,Feminino,19/04/1964,61,TRUE
40,Ana Pimentel,MG,F,Feminino,15/05/1982,43,TRUE
41,André Abdon,PA,M,Masculino,10/11/1970,54,TRUE
42,André Fernandes,CE,M,Masculino,10/12/1997,27,TRUE
43,André Ferreira,PE,M,Masculino,10/12/1972,52,TRUE
44,André Figueiredo,CE,M,Masculino,10/11/1966,58,TRUE
45,André Fufuca,MA,M,Masculino,27/08/1989,36,TRUE
46,André Janones,MG,M,Masculino,05/05/1984,41,TRUE
47,Andreia Siqueira,PA,F,Feminino,19/08/1992,33,TRUE
48,Antônia Lúcia,AC,F,Feminino,17/07/1970,55,TRUE
49,Antonio Andrade,TO,M,Masculino,22/10/1958,67,TRUE
50,Antonio Brito,BA,M,Masculino,17/01/1969,56,TRUE
51,Antonio Carlos Rodrigues,SP,M,Masculino,17/05/1950,75,TRUE
52,Antônio Doido,BA,M,Masculino,26/08/1976,49,TRUE
53,Any Ortiz,RS,F,Feminino,19/10/1983,42,TRUE
54,Arlindo Chinaglia,SP,M,Masculino,24/12/1949,75,TRUE
55,Arnaldo Jardim,SP,M,Masculino,08/05/1955,70,TRUE
56,Arthur Lira,AL,M,Masculino,25/06/1969,56,TRUE
57,Arthur Oliveira Maia,BA,M,Masculino,17/08/1964,61,TRUE
58,Átila Lins,AM,M,Masculino,22/11/1950,74,TRUE
59,Átila Lira,PI,M,Masculino,01/04/1980,45,TRUE
60,Augusto Coutinho,PE,M,Masculino,22/10/1962,63,TRUE
61,Augusto Puppio,PA,M,Masculino,09/05/1982,43,TRUE
62,Aureo Ribeiro,RJ,M,Masculino,17/02/1979,46,TRUE
63,Bacelar,BA,M,Masculino,09/07/1957,68,TRUE
64,Baleia Rossi,SP,M,Masculino,09/06/1972,53,TRUE
65,Bandeira de Mello,RJ,M,Masculino,22/03/1953,72,TRUE
66,Bebeto,MG,M,Masculino,31/07/1963,62,TRUE
67,Benedita da Silva,RJ,F,Feminino,26/04/1942,83,TRUE
68,Benes Leocádio,RN,M,Masculino,22/04/1966,59,TRUE
69,Beto Pereira,MS,M,Masculino,14/11/1977,47,TRUE
70,Beto Preto,PR,M,Masculino,17/02/1968,57,TRUE
71,Beto Richa,PR,M,Masculino,29/07/1965,60,TRUE
72,Bia Kicis,RJ,F,Feminino,19/09/1961,64,TRUE
73,Bibo Nunes,RS,M,Masculino,09/01/1957,68,TRUE
74,Bohn Gass,RS,M,Masculino,05/02/1962,63,TRUE
75,Bosco Costa,SE,M,Masculino,28/09/1950,75,TRUE
76,Bruno Farias,MG,M,Masculino,07/10/1982,43,TRUE
77,Bruno Ganem,SP,M,Masculino,15/09/1986,39,TRUE
78,Cabo Gilberto Silva,PB,M,Masculino,01/04/1981,44,TRUE
79,Caio Vianna,RJ,M,Masculino,08/12/1988,36,TRUE
80,Camila Jara,MS,F,Feminino,10/02/1995,30,TRUE
81,Capitão Alberto Neto,CE,M,Masculino,05/05/1982,43,TRUE
82,Capitão Alden,BA,M,Masculino,19/04/1980,45,TRUE
83,Capitão Augusto,SP,M,Masculino,04/10/1966,59,TRUE
84,Capitão Samuel,SE,M,Masculino,03/02/1970,55,TRUE
85,Carla Ayres,SP,F,Feminino,15/03/1988,37,TRUE
86,Carla Dickson,PA,F,Feminino,02/07/1976,49,TRUE
87,Carla Zambelli,SP,F,Feminino,03/07/1980,45,TRUE
88,Carlos Chiodini,SC,M,Masculino,08/03/1982,43,TRUE
89,Carlos Gomes,BA,M,Masculino,13/06/1972,53,TRUE
90,Carlos Henrique Gaguim,GO,M,Masculino,21/04/1961,64,TRUE
91,Carlos Jordy,RJ,M,Masculino,08/02/1982,43,TRUE
92,Carlos Sampaio,SP,M,Masculino,31/03/1963,62,TRUE
93,Carlos Veras,PE,M,Masculino,10/08/1981,44,TRUE
94,Carlos Zarattini,SP,M,Masculino,08/06/1959,66,TRUE
95,Carmen Zanotto,SC,F,Feminino,06/10/1962,63,TRUE
96,Carol Dartora,PR,F,Feminino,01/05/1983,42,TRUE
97,Caroline de Toni,SC,F,Feminino,01/09/1986,39,TRUE
98,Castro Neto,PI,M,Masculino,23/04/1974,51,TRUE
99,Célia Xakriabá,SP,F,Feminino,10/05/1989,36,TRUE
100,Célio Silveira,GO,M,Masculino,19/09/1959,66,TRUE
101,Célio Studart,CE,M,Masculino,19/06/1987,38,TRUE
102,Celso Russomanno,SP,M,Masculino,20/08/1956,69,TRUE
103,Celso Sabino,PA,M,Masculino,29/08/1978,47,TRUE
104,Cezinha de Madureira,BA,M,Masculino,12/12/1973,51,TRUE
105,Charles Fernandes,BA,M,Masculino,15/03/1965,60,TRUE
106,Chico Alencar,RJ,M,Masculino,19/10/1949,76,TRUE
107,Chiquinho Brazão,RJ,M,Masculino,22/02/1962,63,TRUE
108,Chris Tonietto,RJ,F,Feminino,14/05/1991,34,TRUE
109,Clarissa Tércio,PE,F,Feminino,26/12/1984,40,TRUE
110,Claudio Cajado,BA,M,Masculino,01/12/1963,61,TRUE
111,Cleber Verde,MA,M,Masculino,10/05/1972,53,TRUE
112,Clodoaldo Magalhães,PE,M,Masculino,13/11/1975,49,TRUE
113,Cobalchini,SC,M,Masculino,07/09/1963,62,TRUE
114,Coronel Armando,RJ,M,Masculino,23/06/1957,68,TRUE
115,Coronel Assis,MT,M,Masculino,16/04/1976,49,TRUE
116,Coronel Chrisóstomo,AM,M,Masculino,23/06/1959,66,TRUE
117,Coronel Fernanda,MT,F,Feminino,13/11/1974,50,TRUE
118,Coronel Meira,PE,M,Masculino,07/01/1958,67,TRUE
119,Coronel Tadeu,SP,M,Masculino,30/09/1965,60,TRUE
120,Coronel Telhada,SP,M,Masculino,10/10/1961,64,TRUE
121,Coronel Ulysses,AC,M,Masculino,19/10/1972,53,TRUE
122,Covatti Filho,RS,M,Masculino,25/07/1987,38,TRUE
123,Cristiane Lopes,RO,F,Feminino,17/11/1983,41,TRUE
124,Da Vitoria,ES,M,Masculino,02/06/1971,54,TRUE
125,Dagoberto Nogueira,SP,M,Masculino,21/07/1955,70,TRUE
126,Daiana Santos,RS,F,Feminino,29/01/1982,43,TRUE
127,Dal Barreto,BA,M,Masculino,16/03/1979,46,TRUE
128,Damião Feliciano,PB,M,Masculino,28/04/1952,73,TRUE
129,Dandara,MG,F,Feminino,23/01/1994,31,TRUE
130,Dani Cunha,RJ,F,Feminino,19/05/1987,38,TRUE
131,Daniel Agrobom,MG,M,Masculino,02/07/1968,57,TRUE
132,Daniel Almeida,BA,M,Masculino,21/01/1955,70,TRUE
133,Daniel Barbosa,AL,M,Masculino,27/10/1984,40,TRUE
134,Daniel Freitas,SC,M,Masculino,03/04/1982,43,TRUE
135,Daniel José,SP,M,Masculino,14/02/1988,37,TRUE
136,Daniel Trzeciak,RS,M,Masculino,04/11/1986,38,TRUE
137,Daniela do Waguinho,RJ,F,Feminino,10/02/1976,49,TRUE
138,Daniela Reinehr,SC,F,Feminino,04/04/1977,48,TRUE
139,Danilo Forte,CE,M,Masculino,01/09/1958,67,TRUE
140,Danrlei de Deus Hinterholz,RS,M,Masculino,18/04/1973,52,FALSE
141,Darci de Matos,PR,M,Masculino,08/11/1961,63,FALSE
142,David Soares,RJ,M,Masculino,21/12/1973,51,TRUE
